anio,cve_entidad,rango_uma,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,31,W22,371,371,642839.1499999999,362,0,Yucatán
2018,9,W4,334963,334963,93821886.49000028,277346,0,Ciudad de México
2018,9,W10,72650,72650,55510352.79000004,63029,0,Ciudad de México
2018,9,W16,31335,31335,39076192.84000008,28510,0,Ciudad de México
2018,9,W15,31872,31872,37239664.06999998,28812,0,Ciudad de México
2018,26,W14,3516,3516,3819127.55,2962,0,Sonora
2018,26,W21,1119,1119,1848585.35,1036,0,Sonora
2018,15,W4,207139,207139,57595654.29000031,165935,0,Estado México
2018,15,W5,131462,131462,47252846.100000046,106883,0,Estado México
2018,15,W7,71803,71803,37578691.28999996,61071,0,Estado México
2018,28,W9,12314,12314,8413554.349999996,11041,0,Tamaulipas
2018,28,W25,7530,7530,15141230.079999998,7038,0,Tamaulipas
2018,28,W17,2685,2685,3565257.100000002,2519,0,Tamaulipas
2018,28,W13,5045,5045,5079856.3599999985,4538,0,Tamaulipas
2018,28,W1,309,309,27074.030000000006,230,0,Tamaulipas
2018,3,W1,161,161,14172.839999999995,152,0,Baja California Sur
2018,3,W6,8147,8147,3569224.850000002,5658,0,Baja California Sur
2018,3,W10,2713,2713,2073762.120000002,2007,0,Baja California Sur
2018,3,W9,4174,4174,2846101.7799999984,3248,0,Baja California Sur
2018,13,W11,2250,2250,1898555.7600000014,1848,0,Hidalgo
2018,3,W21,488,488,804650.6300000002,442,0,Baja California Sur
2018,3,W16,655,655,817530.0700000004,528,0,Baja California Sur
2018,5,W17,3369,3369,4478579.950000001,3079,0,Coahuila de Zaragoza
2018,22,W8,19622,19622,11849455.520000007,16084,0,Querétaro
2018,22,W12,7398,7398,6849101.859999991,6356,0,Querétaro
2018,23,,1407,0,0.0,1407,72866,Quintana Roo
2018,23,W10,4945,4945,3770556.459999996,3592,0,Quintana Roo
2018,23,W9,6451,6451,4403257.040000002,4473,0,Quintana Roo
2018,32,W15,805,805,943894.5800000003,677,0,Zacatecas
2018,6,W14,888,888,962887.6299999992,672,0,Colima
2018,27,W14,821,821,891700.4199999996,711,0,Tabasco
2018,7,W3,35771,35771,7051471.349999985,30834,0,Chiapas
2018,7,W12,2297,2297,2127970.979999999,2115,0,Chiapas
2018,7,W1,90,90,7891.969999999989,82,0,Chiapas
2018,7,W6,10280,10280,4538029.990000008,9216,0,Chiapas
2018,7,W22,334,334,578625.5700000002,323,0,Chiapas
2018,8,W4,120452,120452,33421284.049999997,108818,0,Chihuahua
2018,18,W10,1689,1689,1290715.4200000006,1461,0,Nayarit
2018,18,W11,1206,1206,1019184.5800000009,1020,0,Nayarit
2018,18,W1,124,124,10937.839999999998,117,0,Nayarit
2018,18,W19,205,205,305600.84999999986,182,0,Nayarit
2018,10,W4,23914,23914,6657334.660000006,20868,0,Durango
2018,10,W10,2792,2792,2127874.6999999997,2561,0,Durango
2018,29,W18,353,353,498051.0400000007,339,0,Tlaxcala
2018,29,W20,178,178,279634.45999999996,165,0,Tlaxcala
2018,1,W15,1657,1657,1937410.4000000008,1527,0,Aguascalientes
2018,14,W18,7003,7003,9861250.260000004,6541,0,Jalisco
2018,2,W14,5504,5504,5980157.99000001,5135,0,Baja California
2018,2,W17,3488,3488,4634799.189999996,3284,0,Baja California
2018,11,W23,1161,1161,2106690.2199999997,1050,0,Guanajuato
